SEC_NM_KOR,BPS,PER,PBR,EPS,DIV,DPS,매출액,영업이익,당기순이익,ROA,ROE,베타,MKT_VAL
IT,12561.876061120543,26.012105263157896,1.893786078098472,1116.4057724957556,0.8870288624787777,148.29711375212224,2965.95415959253,399.5432937181664,304.35823429541597,2.7911714770797964,4.010016977928693,1.011459779286927,764310.5602716468
건강관리,10434.946619217082,26.249110320284696,3.4152669039145906,814.0284697508897,0.6377224199288256,124.7864768683274,540.0818505338078,51.22419928825623,46.903914590747334,-1.2704626334519573,-1461.5761565836299,0.9562577224199288,347073.89323843416
경기관련소비재,23448.373563218393,17.899166666666666,1.3145114942528735,2505.0172413793102,1.6031609195402299,438.85057471264366,4310.525862068966,272.2844827586207,258.61494252873564,1.6258620689655172,1.9431034482758622,0.876469540229885,346574.4655172414
금융,31795.4578313253,6.739036144578313,0.6890361445783132,3783.89156626506,4.460120481927711,823.2409638554217,25541.650602409638,1591.0602409638554,1250.6024096385543,1.7686746987951805,9.175903614457832,0.7632304819277108,1104869.2048192772
산업재,20988.79083094556,34.75318051575931,1.4293409742120344,1636.0343839541547,1.666160458452722,333.2865329512894,5517.670487106017,424.3295128939828,313.91404011461316,3.0550143266475644,2.780515759312321,0.8958175071633238,349453.5157593123
소재,64600.902654867255,14.436858407079646,1.2931858407079646,6795.9646017699115,1.8443362831858408,800.9070796460177,4535.805309734514,378.22566371681415,306.2920353982301,6.452212389380531,10.680973451327434,0.8653690265486725,421471.26548672566
에너지,36247.305555555555,22.765,1.5883333333333334,3023.5833333333335,1.625,1140.7777777777778,16907.61111111111,1985.8055555555557,1290.9722222222222,1.536111111111111,2.7555555555555555,0.7790830555555556,580795.6388888889
유틸리티,106087.0,32.45176470588235,1.1364705882352941,5693.64705882353,2.8994117647058824,1307.3529411764705,18977.235294117647,-3598.529411764706,-2754.823529411765,3.2470588235294118,5.852941176470588,0.39235294117647057,624011.7647058824
커뮤니케이션서비스,16708.385964912282,23.92763157894737,1.9586842105263158,2776.342105263158,0.8325438596491228,269.5438596491228,2445.6491228070176,230.64912280701753,133.8859649122807,0.4298245614035088,-1.0026315789473683,0.930448596491228,772715.3333333334
필수소비재,60567.13,12.230699999999999,1.2411,4289.28,1.7837,719.17,3866.59,260.45,183.34,2.525,4.079,0.7311,274516.05
