Sector,Sales,Revenue,MarCap,PER,PBR,ROA,ROE,Volume,Price,Beta,DIVIDEND
Communication Services,57971923076.92308,8395573913.043478,177886153846.15384,31.585454545454546,2.8295833333333333,5.11304347826087,12.982608695652175,8010312.615384615,80.62115384615385,0.9878260869565217,3.4107692307692306
Consumer Discretionary,33889655172.41379,2863767241.37931,75775689655.17241,28.181372549019606,33.76854166666667,8.87241379310345,1.3859649122807023,4141986.0517241377,288.6363793103448,1.3591379310344827,2.2181081081081078
Consumer Staples,56689375000.0,3372162500.0,80558750000.0,27.1484375,23.224333333333334,8.03125,44.328125,2267122.53125,108.654375,0.560625,2.766451612903226
Energy,63800952380.95238,7438857142.857142,74061428571.42857,12.333,3.8276190476190473,11.757142857142858,-1.2904761904761932,2767487.619047619,82.98476190476191,1.6461904761904762,3.4171428571428573
Financials,18689313846.153847,4360496923.076923,52215230769.23077,18.762153846153847,4.21359375,3.376923076923077,15.55846153846154,1652542.4153846153,139.33769230769232,1.0801538461538462,2.3846875
Health Care,44730625000.0,3760759375.0,77937500000.0,31.325081967213112,78.74216666666668,9.6828125,33.3375,1114089.5,222.12640625,0.903015873015873,1.66675
Industrials,20487042253.521126,1966200000.0,39401690140.84507,24.734776119402984,5.673787878787878,8.998571428571429,20.175714285714285,1191361.1830985916,158.12704225352113,1.1484057971014492,1.6326229508196721
Information Technology,22266842105.263157,5027756578.947369,122966842105.26315,54.88346666666667,11.832173913043478,12.110666666666667,23.845333333333336,6007698.513157895,178.06236842105264,1.1801315789473683,1.9234090909090908
Materials,17785714285.714287,2059400000.0,31400357142.857143,25.810714285714287,5.585,8.511111111111111,34.903703703703705,994179.5,123.52,1.0814814814814815,2.2964285714285713
Real Estate,4390322580.645162,966806451.6129032,32013870967.741936,78.78193548387097,4.789333333333333,4.616129032258065,14.483870967741936,544768.1290322581,132.19258064516129,0.8961290322580645,3.417333333333333
Utilities,13066551724.137932,1422882142.857143,37646551724.13793,27.205000000000002,2.6186206896551725,2.807142857142857,11.246428571428572,914762.2413793104,82.18482758620691,0.5035714285714286,2.835862068965517
