종목코드,CMP_KOR,SEC_NM_KOR,BPS,PER,PBR,EPS,DIV,DPS,매출액,영업이익,당기순이익,ROA,ROE,베타,MKT_VAL,Score
005830,DB손해보험,금융,110605.0,3.83,0.5,14482.0,6.31,3500.0,59734.0,3908.0,2983.0,1.8,19.1,0.55,2593404.0,14.0
055550,신한지주,금융,88548.0,4.78,0.39,7308.0,5.62,1960.0,75869.0,17492.0,13399.0,0.8,11.5,0.73,14679149.0,13.0
105560,KB금융,금융,121808.0,4.18,0.38,11134.0,6.32,2940.0,257208.0,16002.0,13080.0,0.8,11.7,0.74,14640560.0,13.0
001450,현대해상,금융,63866.0,5.67,0.47,5286.0,4.94,1480.0,53586.0,2903.0,2140.0,1.4,15.7,0.42,1793945.0,13.0
016360,삼성증권,금융,68096.0,2.89,0.46,10810.0,12.16,3800.0,40026.0,1828.0,1368.0,0.9,9.5,0.93,1897625.0,12.0
137310,에스디바이오센서,건강관리,21658.0,2.51,1.27,10918.0,4.61,1266.0,7950.0,3481.0,3386.0,48.6,63.7,0.13,992180.0,14.0
145720,덴티움,건강관리,33841.0,13.55,2.58,6434.0,0.29,250.0,967.0,352.0,362.0,17.3,32.5,0.88,530861.0,13.0
096530,씨젠,건강관리,20971.0,2.65,1.31,10359.0,3.65,1000.0,1284.0,130.0,251.0,25.5,33.5,1.16,944455.0,13.0
100120,뷰웍스,건강관리,20479.0,9.69,1.69,3575.0,2.16,750.0,637.0,160.0,78.0,12.4,16.0,0.77,242595.0,13.0
000640,동아쏘시오홀딩스,건강관리,154410.0,10.23,0.65,9768.0,1.5,1500.0,2610.0,142.0,89.0,0.5,1.1,0.56,342498.0,13.0
